Title,Content,Answer 1,Answer 2,Answer 3,Question link,,,,,,,,,,,,,,,,,,,,
Graduation in/from/at,"کدوم حرف اضافه به همراه graduation میاد؟ in/from/at این جمله رو جایی خوندم: After his graduation in the field of medicine at Harvard University,he has offered a great job.از لحاظ گرامری این جمله درسته؟ نباید حرف اضافه یfrom به جای at استفاده بشه؟اینطوری:After his graduation in the field of medivine from Harvard University,hewas offered a great job.","اره! جمله دومی بهتره. حالا اگه ما بیایم in the field of medicine رو حذف کنیم, تفاوت بین دو جمله پررنگ میشه . his graduation at Harvard  احتمالا برای ذهن مخاطب صحنه مراسم فارغ‌التحصیلی  که توی هاروارد اتفاق افتاده رو رسم میکنه. احتمالا نویسنده با عبارت in the field of medicine براش یک انحرافی به وجود اومده به طوری که عبارت ،این مفهومو He studied medicine at Harvard با خودش به همراه آورده .",,,https://english.stackexchange.com/questions/574027/graduation-in-from-at,,,,,,,,,,,,,,,,,,,,
کلمه یا عبارتی برای توصیف چیزی که به عنوان بخشی از روتین زندگی اتفاق می افته.,"کلمه یا عبارتی برای توصیف چیزی که به عنوان بخشی از روتین زندگی اتفاق می افته. برای توصیف چیزی که بخشی از یک روتین معمولیه و اتفاق افتادنش حتمیه به یک کلمه یا عبارت نیاز دارم.توضیحش سخته ولی امیدواردم مثالی که میزنم منظورمو برسونه:)داستانیو  که از نگاه یک گربه خونگی هستش تعریف میکنم که حالا صاحب خونه برای گرفتن مواد غذایی میره و گربه تو خونه منتظر برگشتن صاحبش به همرا غذا هست. ازنگاه گربه :""ناراحتی که هر هفته تو این سی دقیقه تنهایی تجربه میکردم فقط با {کلمه/عبارت}قابل تحمل میشد.""","وقتی من این جمله رو خوندم (بخشی از یک روتین معمولیه و اتفاق افتادنش حتمیه)، کلمه ای که با این توصیف بیشترین سازگاری رو داره ""predictable"" هست. برای شرایطی که گفتی certaintyو کلمات مترادف دیگه ای    Reliability و  anticipation وجود دارن . برای معنی عام هم میشه از by the promise of food استفاده کرد ، نه به این معنی که صاحب خونه وعده داده ، بلکه نتیجه اونقدر قطعیه که انگار سرنوشت قول داده.",,,,,,,,,,,,,,,,,,,,,,,
منظور از  offence can scarcely be visited on the quantity چیه,"منظور از  offence can scarcely be visited on the quantity چیه؟ متن کامل Friend, be not tedious,"" said the Rajah of Travancore to a Christian missionary, in the sixteenth century, ""remember life is short."" I have endeavoured to pay due attention to this admirable advice; and if what I have written be wearisome, the offence can scarcely be visited on the quantity.
از Edward Sullivan",معنیش این میشه که شاید اون چیزیو که نویسنده نوشته خسته کنده باشه ولی به خاطر تعداد {کلمات}نیسته بلکه میتونیم این داستانو بیشتر به محتوای کلمات یا چیزای دیگه ربط داد.,,,https://english.stackexchange.com/questions/573966/what-is-meant-by-offence-can-scarcely-be-visited-on-the-quantity,,,,,,,,,,,,,,,,,,,,
تفاوت بین look at و look over چیه؟,"تفاوت بین look at و look over چیه؟این جمله رو خوندم ""He put a hand on Bran's shoulder, and Bran looked over at his bastard brother.""",,,,https://english.stackexchange.com/questions/539993/what-is-the-difference-between-looked-at-and-looked-over-at,,,,,,,,,,,,,,,,,,,,
برای فردی که دروغ میگه چه صفتی به کار گرفته میشه؟,برای فردی که دروغ میگه چه صفتی به کار گرفته میشه؟,Calculating(خوب در برنامه ریزی امور به گونه ای که مزیتی را برای شما به همرا داشته باشد ولی به دیگران توجه نکند,,,,,,,,,,,,,,,,,,,,,,,
عبارتی وجود داره برای قولی که بهش عمل نشده؟ ,گاهی قول هایی میدیم که میدونیم نمیتونیم بهشون عمل کنیم .عبارتی وجود داره برای قولی که بهش عمل نشده؟ ,empty promise برای قول هایی که هیچ جوره براورد نمیشوند,,,https://english.stackexchange.com/questions/573576/is-there-a-word-or-phrase-for-promises-that-cant-be-kept/573577#573577,,,,,,,,,,,,,,,,,,,,
,چه کلمه ای برای جعلی بودن مکان های عجیب( اسراف انگیز) به کار برده میشود؟,tawdry( به معنای درخشان و جذاب اما در واقعیت ارزان و با کیفیت پایین,,,,,,,,,,,,,,,,,,,,,,,
معنی فعل to get in the way چیست؟,معنی فعل to get in the way چیست؟,به معنای شروع به انجام کاری به صورت منظم و مرتب,,,https://english.stackexchange.com/questions/572065/what-is-the-meaning-of-the-verb-to-get-in-the-way,,,,,,,,,,,,,,,,,,,,
"""In the platform"" یا ""on the platform""?",کدام صحیح است in the platform یا on the platform؟,"on the the platformزمانی که دارم از پلتفرم استفاده میکنم
In the platform زمانی که درون پلتفرم هستم و چیز هایی که مربوط به برنامه هستند را تغییر میدهم و یا تنظیمات را",,,https://english.stackexchange.com/questions/572477/in-the-platform-or-on-the-platform,,,,,,,,,,,,,,,,,,,,
"آیا ""have yet to"""" دلالت بر انتظارات دارد؟","آیا ""have yet to"""" دلالت بر انتظارات دارد؟",برای گفتن اینکه چیزی تا به حال اتفاق نیوفتاده یا انجام نشده به خصوص زمانی که فکر میکنین باید اتفاق می افتاد یا انجام میشد.بله این نشان دهنده ی میزان ناامیدی هست که زمینه ی ناامیدی را تعیین میکند,,,https://english.stackexchange.com/questions/572068/does-have-yet-to-imply-expectations,,,,,,,,,,,,,,,,,,,,
,ایا کلمه ای وجود دارد برای توصیف شخصی که به بی کفایتی علاقه ای ندارد؟,not suffer fools gladly(بی صبر بودن در مقابل افرادی که احمق تلقی میشوند),,,,,,,,,,,,,,,,,,,,,,,
"معنای""the continuity of rights under french law چیست؟","معنای""the continuity of rights under french law چیست؟","به این معنی است که حقوق تامین اجتماعی (بیمه درمانی) یک شخص بعد از مدتی منقضی نمی شود ، یعنی به طور پیوسته وجود دارد. هر فردی که به طور پیوسته در فرانسه زندگی یا کار می کند در تمام طول عمر خود از حق حمایت اجتماعی برخوردار است.
",,,https://english.stackexchange.com/questions/573542/what-does-the-continuity-of-rights-under-french-law-means,,,,,,,,,,,,,,,,,,,,
"آیا ""can only but"" یک اصطلاح واقعی انگلیسی است؟","آیا ""can only but"" یک اصطلاح واقعی انگلیسی است؟",بله.به معنایonly(فقط) و یا nothing but (هیچ چیز جز) است,,,https://english.stackexchange.com/questions/573273/is-can-only-but-a-real-english-expression,,,,,,,,,,,,,,,,,,,,
"وقتی که جملمون شامل ۲ تا بیانیه میشه، علامت سوال رو کجای جمله بزاریم؟","وقتی که جملمون شامل ۲ تا بیانیه میشه، علامت سوال رو کجای جمله بزاریم؟ مطمئن نیستم که اینجا علامت سوالو دقیقا کجا بزارم.But why would anyone want to be famous? Especially since fame brings a bunch of problems.
یا

But why would anyone want to be famous, especially since fame brings a bunch of problems?
کسی  میتونه کمک کنه؟ ", هر دوتاشون از لحاظ گرامری درستن پس هر کدومو عشقت می‌کشه انتخاب کن,,,https://english.stackexchange.com/questions/573876/where-to-put-question-mark-in-sentences-with-two-statements/573881#573881,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
معنی این جمله چیه؟,"معنی این جمله چیه؟That the seller has given clear understanding and guarantee at the time of this agreement that the said property is free from all encumbrances, attachments such as mortgage, gift, will, exchange, court injunction, disputes, stay, court decrees, lease, family or religious dispute or any other registered or unregistered encumbrance and attachment etc. In case of any proof, the seller will be liable and responsible for the same.
خیلی خوب میشه که اگر یکی معنی خط اخر رو بهم بگه‌.","معنیش میشه که در صورت پیدا کردن هر گونه مدرک (که البته اثبات شده باشه) مبنی بر بار، مسئولیتش میفته گردنه فروشنده .",,,https://english.stackexchange.com/questions/550622/whats-the-meaning-of-the-mentioned-sentence,,,,,,,,,,,,,,,,,,,,
